No,Sheet,Item,Owner,Status
1,소방·피난,"비상구, 피난통로, 방화문, 방화셔터, 방화구획 주변 적재물 없음",TBD,open
2,소방·피난,"소화전, 소화기, 자동화재탐지설비, 비상방송 접근성 확인",TBD,open
3,소방·피난,임시구조물·부스가 피난동선 또는 소방활동 공간을 침범하지 않음,TBD,open
4,소방·피난,화기·위험물·가스 반입 승인 및 화재감시 체계 확인,TBD,open
5,소방·피난,개장 전/피크 전/철거 전 사진 증빙 확보,TBD,open
6,소방·피난,화재예방법 시행령 별표 4: 연면적 10만㎡ 이상 또는 30층 이상 등 특급 소방안전관리대상물 여부 확인,TBD,open
7,소방·피난,화재예방법 시행령 별표 4: 연면적 1만5천㎡ 이상 또는 11층 이상 등 1급 소방안전관리대상물 여부 확인,TBD,open
8,소방·피난,화재예방법 시행령 별표 4: 옥내소화전·스프링클러·물분무등소화설비 설치 대상 등 2급 여부 확인,TBD,open
9,소방·피난,화재예방법 시행령 별표 5: 소방안전관리자 선임 대상 중 연면적 1만5천㎡ 이상 특정소방대상물 여부 확인,TBD,open
10,소방·피난,화재예방법 시행령 별표 5: 연면적 1만5천㎡ 초과분마다 보조자 추가 선임 기준 확인,TBD,open
11,소방·피난,화재예방법 시행령 별표 5: 방재실 자위소방대 24시간 상시 근무 및 소방차 운용 조건이 있는 경우 완화 기준 확인,TBD,open
12,소방·피난,"소방시설법 시행령 별표 2: 전시장: 박물관, 미술관, 과학관, 문화관, 체험관, 기념관, 산업전시장, 박람회장, 견본주택 등 해당 여부 확인",TBD,open
13,소방·피난,"소방시설법 시행령 별표 2: 집회장: 회의장, 공회당, 예식장 등 해당 여부 확인",TBD,open
14,소방·피난,소방시설법 시행령 별표 2: 공연장: 근린생활시설 규모를 초과하는 공연장 또는 야외음악당·야외극장 여부 확인,TBD,open
15,소방·피난,소방시설법 시행령 별표 4: 문화 및 집회시설 등 수용인원 100명 이상인 경우 스프링클러설비 대상 여부 확인,TBD,open
16,소방·피난,"소방시설법 시행령 별표 4: 연면적·지하층·무창층·층수 조건에 따른 옥내소화전, 자동화재탐지, 비상방송 대상 여부 확인",TBD,open
17,소방·피난,소방시설법 시행령 별표 4: 문화 및 집회시설은 피난구유도등·통로유도등·객석유도등 설치 상태 확인,TBD,open
18,소방·피난,"소방시설법 시행령 별표 7: 문화 및 집회시설, 운동시설, 종교시설은 해당 바닥면적 합계를 4.6㎡로 나누어 수용인원 산정",TBD,open
19,소방·피난,소방시설법 시행령 별표 7: 관람석 고정식 의자는 의자 수로 산정,TBD,open
20,소방·피난,소방시설법 시행령 별표 7: 긴 의자는 정면너비를 0.45m로 나누어 산정,TBD,open
21,소방·피난,소방시설법 시행령 별표 8: 화재위험작업현장에는 소화기 설치 기준 확인,TBD,open
22,소방·피난,소방시설법 시행령 별표 8: 연면적 3천㎡ 이상 또는 지하층·무창층·4층 이상 일정 면적 공사는 간이소화장치 대상 여부 확인,TBD,open
23,소방·피난,소방시설법 시행령 별표 8: 연면적 400㎡ 이상 또는 지하층·무창층 일정 면적 공사는 비상경보장치 대상 여부 확인,TBD,open
24,소방·피난,"건축법 시행규칙 별지 제8호서식: 임시 구조물의 규모, 용도, 존치기간, 위치가 가설건축물 신고 대상인지 관할 건축부서에 확인",TBD,open
25,소방·피난,"건축법 시행규칙 별지 제8호서식: 평면도, 배치도, 구조·재료, 피난·방화, 전기·가스 사용 계획을 신고 전 정리",TBD,open
26,소방·피난,건축법 시행규칙 별지 제8호서식: 신고필증 또는 대상 제외 확인을 베뉴 승인·소방 협의 문서와 함께 보관,TBD,open
27,소방·피난,"건축법 시행규칙 별지 제8호의2서식: 층수, 수용인원, 계단·출구 수, 피난거리, 난간·추락방지, 비상조명 기준 확인",TBD,open
28,소방·피난,건축법 시행규칙 별지 제8호의2서식: 복층 부스 또는 임시 관람석이 3층 이상 가설건축물에 해당하지 않는지도 구조검토서로 확인,TBD,open
29,소방·피난,건축법 시행규칙 별지 제8호의2서식: 피난안전 확인 결과를 소방·피난 점검표와 인파·동선 계획에 반영,TBD,open
30,소방·피난,건축법 시행규칙 별지 제17호서식: 행사 구역이 사용승인 전 건축물 또는 임시 사용승인 구역인지 확인,TBD,open
31,소방·피난,"건축법 시행규칙 별지 제17호서식: 사용승인 범위, 사용 가능 구역, 제한 조건, 소방·피난·전기·승강기 사용 조건을 베뉴와 대조",TBD,open
32,소방·피난,"건축법 시행규칙 별지 제17호서식: 사용승인 조건이 부스 배치, 수용인원, 출입구, 피난동선과 충돌하는지 확인",TBD,open
