No,Sheet,Item,Owner,Status
1,베뉴 시설,베뉴: 코엑스 (coex),TBD,open
2,베뉴 시설,- 전시부스설치 신청서와 구조 계산서를 전시장 임대개시일 14일 전까지 제출하여야 하며,TBD,open
3,베뉴 시설,1. 전시부스설치신청서와 구조계산서를 전시장 사용개시일 14일 전까지 제출해야 한다.,TBD,open
4,베뉴 시설,○ 면적 ○ 적재하중: 1.5tons/㎡,TBD,open
5,베뉴 시설,"- Hall A 전체: 10,368㎡ ○ 소화전 크기 (돌출형)",TBD,open
6,베뉴 시설,○ 적재하중: 1.5tons/㎡,TBD,open
7,베뉴 시설,면적 추출값: 10368㎡,TBD,open
8,베뉴 시설,예상 인원/추출 면적 기준 추정 밀도: 2.89명/㎡,TBD,open
9,베뉴 시설,"소방시설법 시행령 별표 7 면적 산정 참고값: 약 2,253명(면적/4.6㎡, 실제 동시 체류·좌석·도면 기준 재확인 필요)",TBD,open
10,베뉴 시설,"피크 동시인원, 게이트 처리량, 대기열, 피난폭을 베뉴 도면 기준으로 별도 재산정한다.",TBD,open
11,베뉴 시설,"1. 천장에는 배너 등 경량물에 한하여 설치가능하며, 설치를 위해 코엑스에 설치위치도면을 제출한 후",TBD,open
12,베뉴 시설,○ 천장 높이: 9m(일부 7.5m) 높이 155cm,TBD,open
13,베뉴 시설,○ 천장 높이: 9.5m(Bss 6.2m),TBD,open
14,베뉴 시설,○ 천장 높이: 8m(무주공간 12.3m) ○ 부스 수용: 약520부스(3m×3m),TBD,open
15,베뉴 시설,7. 홀매니저실 제출 서류_ 다. 광고안내시설물 설치(변경) 신청서 (필수),TBD,open
16,베뉴 시설,"- 제출서류: 내부 광고시설 설치 위치 도면, 사인물 시안 1부,",TBD,open
17,베뉴 시설,"1. 천장에는 배너 등 경량물에 한하여 설치가능하며, 설치를 위해 코엑스에 설치위치도면을 제출한 후",TBD,open
18,베뉴 시설,"① 포인트 호이스트(리깅) 작업 시에는 1 point당 중량하중을 초과하여서는 안 되며, 필요 시 사전에 포인트",TBD,open
19,베뉴 시설,○ 면적 ○ 적재하중: 1.5tons/㎡,TBD,open
20,베뉴 시설,○ 적재하중: 1.5tons/㎡,TBD,open
21,베뉴 시설,- 전시장 제한하중은 1.5톤/㎡이내 입니다.,TBD,open
22,베뉴 시설,- 전시장 임대개시 14일전까지 전시품에 대한 구조계산과 하중분산방안을 코엑스에 제출하여,TBD,open
23,베뉴 시설,1) 제한하중 초과(5톤 이상) 중량물 공사 구조물(전시품),TBD,open
24,베뉴 시설,제30조 중량전시품 반입 제한,TBD,open
25,베뉴 시설,제31조 위험물의 반출입 및 취급제한,TBD,open
26,베뉴 시설,1. 위험물을 전시장에 반입 또는 반출하고자 할 때에는 위험물 반출입 허가 신청서를 제출하여 코엑스의 승,TBD,open
27,베뉴 시설,제36조 동물반입금지,TBD,open
28,베뉴 시설,제30조 중량전시품 반입 제한,TBD,open
29,베뉴 시설,제31조 위험물의 반출입 및 취급제한,TBD,open
30,베뉴 시설,1. 위험물을 전시장에 반입 또는 반출하고자 할 때에는 위험물 반출입 허가 신청서를 제출하여 코엑스의 승,TBD,open
31,베뉴 시설,제36조 동물반입금지,TBD,open
32,베뉴 시설,"제14조 전기, 수도, 압축공기시설",TBD,open
33,베뉴 시설,제27조 전기시설 규제사항,TBD,open
34,베뉴 시설,"- 코엑스는 고객 만족과 안전사고 예방을 위해 15개 분야(전시디자인 설치, 전기시설, 경비 등)",TBD,open
35,베뉴 시설,3. 전시주최자는 전기설비를 설치하는 경우 전시장 사용개시 14일 전까지 전기설비도면을 코엑스에 제출,TBD,open
36,베뉴 시설,4. 전기 메인간선 시공 시 전시품 기기/조명/전열은 각각 별도의 스위치(S/W)를 설치해야 한다.,TBD,open
37,베뉴 시설,"- Hall A 전체: 10,368㎡ ○ 소화전 크기 (돌출형)",TBD,open
38,베뉴 시설,"- Hall C 전체: 10,348㎡ ○ 소화전 크기 (돌출형)",TBD,open
39,베뉴 시설,"3. 비상구, EPS출입문, 소화전설비 및 화장실 입구 부분에는 전시부스나 부대시설을 설치할 수 없다. 단,",TBD,open
40,베뉴 시설,"2. 비상구, EPS출입문, 소화전설비 및 화장실 입구 부분에는 광고안내 시설물을 설치할 수 없다.",TBD,open
41,베뉴 시설,7. 홀매니저실 제출 서류_ 아. VIP 승하차 신청서 (선택),TBD,open
42,베뉴 시설,제8조 입장료 및 입장권의 판매,TBD,open
43,베뉴 시설,"3. 비상구, EPS출입문, 소화전설비 및 화장실 입구 부분에는 전시부스나 부대시설을 설치할 수 없다. 단,",TBD,open
44,베뉴 시설,"2. 비상구, EPS출입문, 소화전설비 및 화장실 입구 부분에는 광고안내 시설물을 설치할 수 없다.",TBD,open
45,베뉴 시설,제12조 양도금지,TBD,open
46,베뉴 시설,제31조 위험물의 반출입 및 취급제한,TBD,open
47,베뉴 시설,1. 위험물을 전시장에 반입 또는 반출하고자 할 때에는 위험물 반출입 허가 신청서를 제출하여 코엑스의 승,TBD,open
48,베뉴 시설,제35조 흡연금지,TBD,open
49,베뉴 시설,- 전시부스설치 신청서와 구조 계산서를 전시장 임대개시일 14일 전까지 제출하여야 하며,TBD,open
50,베뉴 시설,1. 전시부스설치신청서와 구조계산서를 전시장 사용개시일 14일 전까지 제출해야 한다.,TBD,open
51,베뉴 시설,자체시공작업신고서 / 위험물 반입(반출)허가신청서 / 전시차량 신청서 / 전문전시장,TBD,open
52,베뉴 시설,- 제출도면(부스레이아웃): A3 사이즈 3부.,TBD,open
53,베뉴 시설,"3. 전기취사구, 다리미 등 전열제품 등에 인접한 벽면은 불연성 재료로 보호하여야 한다.",TBD,open
54,베뉴 시설,"단, 전시부스 내에서 전기조리기구(인덕션 등)는 사용 14일 전까지 코엑스와 사전 협의하여 승인을",TBD,open
55,베뉴 시설,제34조 가스기구 사용제한,TBD,open
56,베뉴 시설,3. 동물의 반입 이후 전시장 내에서 발생하는 위생문제와 악취에 대한 문제 해결 및 원상복구에 소요되,TBD,open
57,베뉴 시설,* 기술지원신청서 등 11종 제출 서류 작성내용,TBD,open
58,베뉴 시설,7. 홀매니저실 제출 서류 _ 가. 기술 지원신청서 (필수),TBD,open
59,베뉴 시설,7. 홀매니저실 제출 서류_ 다. 광고안내시설물 설치(변경) 신청서 (필수),TBD,open
60,베뉴 시설,7. 홀매니저실 제출 서류_ 라. 주최자용 무료주차권 발급신청서 (필수),TBD,open
61,베뉴 시설,7. 홀매니저실 제출 서류_ 바. 시간외 사용 신청서 (필수),TBD,open
62,베뉴 시설,"safetyDocuments: * 기술지원신청서 등 11종 제출 서류 작성내용 (data/markdown/venue-manuals/coex-exhibition-guide-2025.md:40, confidence 0.95)",TBD,open
63,베뉴 시설,"safetyDocuments: 7. 홀매니저실 제출 서류 _ 가. 기술 지원신청서 (필수) (data/markdown/venue-manuals/coex-exhibition-guide-2025.md:496, confidence 0.95)",TBD,open
64,베뉴 시설,"safetyDocuments: 7. 홀매니저실 제출 서류_ 다. 광고안내시설물 설치(변경) 신청서 (필수) (data/markdown/venue-manuals/coex-exhibition-guide-2025.md:550, confidence 0.95)",TBD,open
65,베뉴 시설,"safetyDocuments: 7. 홀매니저실 제출 서류_ 라. 주최자용 무료주차권 발급신청서 (필수) (data/markdown/venue-manuals/coex-exhibition-guide-2025.md:581, confidence 0.95)",TBD,open
66,베뉴 시설,"safetyDocuments: 7. 홀매니저실 제출 서류_ 바. 시간외 사용 신청서 (필수) (data/markdown/venue-manuals/coex-exhibition-guide-2025.md:721, confidence 0.95)",TBD,open
67,베뉴 시설,"evacuationRoutes: 7. 홀매니저실 제출 서류_ 아. VIP 승하차 신청서 (선택) (data/markdown/venue-manuals/coex-exhibition-guide-2025.md:748, confidence 0.95)",TBD,open
