No,Sheet,Item,Owner,Status
1,일일 안전점검,개장 전 비상구·소방시설·피난통로 확인,TBD,open
2,일일 안전점검,게이트·대기열·혼잡 구역 스태프 배치 확인,TBD,open
3,일일 안전점검,"임시전기, 케이블 보호, 분전반 접근통제 확인",TBD,open
4,일일 안전점검,부스·무대·트러스·현수막 전도/낙하 위험 확인,TBD,open
5,일일 안전점검,"AED, 의무실, 구급차 접근동선 확인",TBD,open
6,일일 안전점검,식음료·LPG·화기 구역 점검,TBD,open
7,일일 안전점검,"공연중지 기준, 무대감독 중지 신호, 스탠딩 펜스, 피난안내 방송문 확인",TBD,open
8,일일 안전점검,조치 전/후 사진과 담당자 기록,TBD,open
9,일일 안전점검,전시홀 안전관리지침과 작업자 안전교육 이수·준수 여부를 확인한다.,TBD,open
10,일일 안전점검,시설 안전·화재 예방·범죄 예방 목적의 영상정보처리기기 운영 방침과 행사 개인정보 처리 고지를 분리해 관리한다.,TBD,open
