No,Sheet,Item,Owner,Status
1,개인정보·CCTV,"수집항목, 목적, 보관기간, 파기 기준 고지",TBD,open
2,개인정보·CCTV,"필수/선택 동의, 제3자 제공, 홍보성 이용 동의 항목 분리",TBD,open
3,개인정보·CCTV,출입증/QR/등록 위탁 처리 계약과 수탁자 공개 확인,TBD,open
4,개인정보·CCTV,행사 촬영·홍보 이용 고지 또는 동의 확인,TBD,open
5,개인정보·CCTV,"접근권한, 접속기록, 암호화, 현장 단말 잠금, 보관장소 등 안전성 확보 조치 확인",TBD,open
6,개인정보·CCTV,"수집항목, 이용목적, 보관기간, 처리위탁, 파기 기준을 참가자 고지와 개인정보 처리방침에 반영한다.",TBD,open
7,개인정보·CCTV,"CCTV는 설치 목적, 촬영 범위·시간, 관리책임자 연락처, 수탁자 명칭·연락처 안내를 확인한다.",TBD,open
8,개인정보·CCTV,"개인정보보호법 제15조: 참가자 등록·출입증·QR 발급 등 개인정보 수집은 동의, 계약 이행, 법령상 의무 등 처리 근거와 수집 목적·항목·보유기간·거부권 고지가 필요하다.",TBD,open
9,개인정보·CCTV,"개인정보보호법 제22조: 동의 항목은 수집·이용, 제3자 제공, 홍보성 이용 등 목적별로 구분해 명확히 고지하고 선택 동의 거부에 따른 불이익을 과도하게 두지 않아야 한다.",TBD,open
10,개인정보·CCTV,"개인정보보호법 제25조: 공개장소 CCTV 설치·운영의 허용사유, 안내판, 녹음 금지, 안전성 확보, 운영방침, 위탁 요건을 검토한다.",TBD,open
11,개인정보·CCTV,"개인정보보호법 제26조: 등록대행, QR/출입증 발급, 현장 앱 운영 등 개인정보 처리 위탁은 목적 외 처리 금지, 보호조치, 수탁자 공개, 교육·감독, 재위탁 통제를 문서화해야 한다.",TBD,open
12,개인정보·CCTV,"개인정보보호법 제29조: 개인정보 분실·도난·유출·위조·변조·훼손을 방지하기 위해 내부관리계획, 접근권한, 접속기록, 암호화, 물리적 보호조치를 확인한다.",TBD,open
13,개인정보·CCTV,"개인정보보호법 제30조: 처리 목적, 보유기간, 제3자 제공, 파기, 위탁, 정보주체 권리, 보호책임자 연락처 등을 포함한 처리방침을 쉽게 확인할 수 있게 공개한다.",TBD,open
14,개인정보·CCTV,"개인정보보호법 시행령 제24조: CCTV 설치·운영 사실과 설치 목적·장소, 촬영 범위·시간, 관리책임자 연락처 등이 포함된 안내판 또는 대체 공개 방법을 확인한다.",TBD,open
15,개인정보·CCTV,"개인정보보호법 시행령 제25조: CCTV 설치 근거·목적, 대수·위치·촬영범위, 접근권한자, 보관기간, 열람 절차, 보호조치를 운영방침에 포함한다.",TBD,open
16,개인정보·CCTV,"개인정보보호법 시행령 제26조: 공공기관 CCTV 위탁은 목적·범위, 재위탁 제한, 접근 제한, 관리현황 점검, 책임 조항을 문서화하고 안내판에 수탁자 정보를 포함한다.",TBD,open
17,개인정보·CCTV,"개인정보보호법 시행령 제30조: 내부관리계획, 취급자 교육, 접근권한 관리, 접근통제, 암호화, 접속기록 보관, 악성프로그램 대응, 물리적 보호를 점검한다.",TBD,open
18,개인정보·CCTV,"개인정보보호법 시행령 제31조: 처리 항목, 국외이전, 안전성 확보조치 등 추가 항목과 홈페이지·현장 게시 등 공개 방법을 확인한다.",TBD,open
