No,Sheet,Item,Owner,Status
1,베뉴 시설,베뉴: 킨텍스 (kintex),TBD,open
2,베뉴 시설,킨텍스 전시홀 안전관리지침 : 제1조,TBD,open
3,베뉴 시설,킨텍스 전시홀 안전관리지침 : 제2조 ~ 제3조,TBD,open
4,베뉴 시설,킨텍스 전시홀 안전관리지침 : 제4조,TBD,open
5,베뉴 시설,킨텍스 전시홀 안전관리지침 : 제5조,TBD,open
6,베뉴 시설,"7. 전시홀 내 페인트, 목재컷팅, 용접작업 등은 작업금지",TBD,open
7,베뉴 시설,⊙ 천정 구조물(현수막/리깅 등) 설치 기준 ⊙ 복층 면적 : 사용면적(바닥면적)의 1/2 이내,TBD,open
8,베뉴 시설,결속위치 부여(6 Hall 현수막 및 리깅 불가) ⊙ 복층 천정 개방 원칙,TBD,open
9,베뉴 시설,관련사항 홀매니저와 별도협의 - 천장 마감 시 천장에 10㎡당 1개 이상의 자동 확산소화기 설치,TBD,open
10,베뉴 시설,빵빠레 베너 (0.6 X 2.0) 천정 베너 (0.8 X 2.2),TBD,open
11,베뉴 시설,⊙ 제1(2)전시장 광고물 설치(변경)신청서 ⊙ 전시홀 내 변형된 광고싸인물(사각현수막)설치는 사전에,TBD,open
12,베뉴 시설,2. 공통사항 < 시설안내–리깅 가능 트러스(제1전시장 : 1~5홀) >,TBD,open
13,베뉴 시설,2. 공통사항 < 시설안내–리깅 가능 트러스(제2전시장 : 7홀) >,TBD,open
14,베뉴 시설,※ 제2전시장 6홀의 경우 리깅 트러스 없음,TBD,open
15,베뉴 시설,"⊙ 현장대리인계 ⊙ 5톤/㎡ 이상 중량물 반입 시, 사전에 킨텍스 승인여부를 확인 후 반입",TBD,open
16,베뉴 시설,"- 단, 부착물하중이 전체 100kg 미만인 경우에는 400mm x 400mm도 사용 가능",TBD,open
17,베뉴 시설,⊙ 5톤/㎡ 이상 전시품에 대하여 사전 킨텍스 승인여부를 확인 후 반입,TBD,open
18,베뉴 시설,"□ 전시장 이용 - 자체시공서류, 위험물(중량물) 반입신고서, 재대처계획서",TBD,open
19,베뉴 시설,"수용력 · 최대 600개 부스 (3m x 3m: 통로포함, 두 구역으로 구분 가능, 바닥하중: 5t/㎡",TBD,open
20,베뉴 시설,⊙ 전시 스탠드 간 통로 폭 3m 이상 확보 ⊙ 위험물 반 · 출입 시 위험물 반출입 허가신청서,TBD,open
21,베뉴 시설,"⊙ 현장대리인계 ⊙ 5톤/㎡ 이상 중량물 반입 시, 사전에 킨텍스 승인여부를 확인 후 반입",TBD,open
22,베뉴 시설,⊙ 5톤/㎡ 이상 전시품에 대하여 사전 킨텍스 승인여부를 확인 후 반입,TBD,open
23,베뉴 시설,"□ 전시장 이용 - 자체시공서류, 위험물(중량물) 반입신고서, 재대처계획서",TBD,open
24,베뉴 시설,⊙ 전시 스탠드 간 통로 폭 3m 이상 확보 ⊙ 위험물 반 · 출입 시 위험물 반출입 허가신청서,TBD,open
25,베뉴 시설,"⊙ 현장대리인계 ⊙ 5톤/㎡ 이상 중량물 반입 시, 사전에 킨텍스 승인여부를 확인 후 반입",TBD,open
26,베뉴 시설,⊙ 5톤/㎡ 이상 전시품에 대하여 사전 킨텍스 승인여부를 확인 후 반입,TBD,open
27,베뉴 시설,- 화물적재 상태에서 30cm이상으로 들어 올리거나 마스트를 수직이나 앞으로 기울인 상태에서 주행 금지,TBD,open
28,베뉴 시설,"- 단, 행사 기간 중 별도 전기신청 업체 외 전시장 전기 Off (ex) 24시간 가동장비 있는 경우)",TBD,open
29,베뉴 시설,3. 분야별 안전관리 < 전기공사 분야 >,TBD,open
30,베뉴 시설,⊙ 총 전기 부하용량이 300kw이상 시에는 별도의 전기 안전검사가 반드시 이행되어야 함,TBD,open
31,베뉴 시설,"KINTEX는 고객의 편의와 안전을 위해 디자인 설치, 전기, 보안(경비) 등 14개 분야 등록업체 제도를",TBD,open
32,베뉴 시설,• 전기 사용 가능 (220V) • 전기 사용 가능 (220V),TBD,open
33,베뉴 시설,킨텍스가 정하는 소화전 및 비상구 3m 이상 이격 기존설치물 사이,TBD,open
34,베뉴 시설,"- 구조물 높이 5m 초과 시, 구조계산이 완료되어야 설치 가능 소방산업기술연구원의 형식승인을 득한 제품일지라도,",TBD,open
35,베뉴 시설,"급수/배수 압축공기 · 소화전 수량: 7개, 소화기 수량: 45개",TBD,open
36,베뉴 시설,사용 압력 사용 압력 ∙ 소화전 수량: 7개,TBD,open
