No,Sheet,Item,Owner,Status
1,도로·교통,옥외행사/축제 조건으로 도로·보도·광장 영향 가능성을 조건부 확인,TBD,open
2,도로·교통,"행사장 외부 보행자 유입, 대기열, 주차장·대중교통 접근 동선 확인 필요",TBD,open
3,도로·교통,"도로관리청/교통부서/경찰과 도로점용허가, 교통소통대책, 차로·보도 통제, 원상복구 범위를 확인한다.",TBD,open
4,도로·교통,"통행금지·차량 운행 제한이 있으면 공고, 우회도로, 문의처, 비상차량 접근로를 사전 고지한다.",TBD,open
5,도로·교통,지자체 옥외행사 안전관리계획과 도로점용/교통소통 조례의 제출기한을 제출 일정·RACI에 반영한다.,TBD,open
6,도로·교통,서울특별시 송파구 서울특별시 송파구 옥외행사의 안전관리에 관한 조례: 천장이 없거나 사방이 폐쇄되지 않은 장소에서 불특정 다수가 참여하는 공연·축제·체육·전시성 행사 / 제출기한 다수 조례에서 행사 5~21일 전 안전관리계획 수립·신고 또는 제출 요구,TBD,open
7,도로·교통,"서울특별시 송파구 서울특별시 송파구 옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 조례: 행사 홍보·안내를 위해 현수막, 배너, 안내판, 지주형 표시물, 전광류·전기 사용 광고물을 옥외에 표시·설치하는 경우 / 제출기한 표시·설치 전 허가/신고 및 게시대 신청 기한을 관할 지자체 기준으로 확인",TBD,open
8,도로·교통,서울특별시 서울특별시 옥외행사의 안전관리에 관한 조례: 천장이 없거나 사방이 폐쇄되지 않은 장소에서 불특정 다수가 참여하는 공연·축제·체육·전시성 행사 / 제출기한 다수 조례에서 행사 5~21일 전 안전관리계획 수립·신고 또는 제출 요구,TBD,open
9,도로·교통,"서울특별시 송파구 서울특별시 송파구 도로점용공사장 교통소통대책에 관한 조례: 도로·보도·광장 등에 임시시설, 안내물, 부스, 무대, 대기열, 셔틀 승하차장, 행진·퍼레이드, 차량통제 구역을 설치하거나 도로를 점용하는 경우 / 제출기한 도로점용허가 신청 및 교통소통대책 제출 기한은 관할 도로관리청 기준 확인",TBD,open
10,도로·교통,"서울특별시 송파구 서울특별시 송파구 도로점용료 징수 조례 시행규칙: 도로·보도·광장 등에 임시시설, 안내물, 부스, 무대, 대기열, 셔틀 승하차장, 행진·퍼레이드, 차량통제 구역을 설치하거나 도로를 점용하는 경우 / 제출기한 도로점용허가 신청 및 교통소통대책 제출 기한은 관할 도로관리청 기준 확인",TBD,open
11,도로·교통,"서울특별시 서울특별시 옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 조례: 행사 홍보·안내를 위해 현수막, 배너, 안내판, 지주형 표시물, 전광류·전기 사용 광고물을 옥외에 표시·설치하는 경우 / 제출기한 표시·설치 전 허가/신고 및 게시대 신청 기한을 관할 지자체 기준으로 확인",TBD,open
12,도로·교통,도로법 시행령 별표 2: 점용물은 도로 구조 또는 교통에 지장을 주지 않는 위치에 설치,TBD,open
13,도로·교통,도로법 시행령 별표 2: 교차·접속·굴곡 부분 점용물 설치 제한 여부 확인,TBD,open
14,도로·교통,도로법 시행령 별표 2: 점용물 구조는 무너짐·낙하·벗겨짐·화재·하중 등으로 도로 구조안전 또는 교통에 지장을 주지 않아야 함,TBD,open
15,도로·교통,"도로법 시행령 별표 2: 도로 한쪽 통행 유지와 교통 지장 최소화, 1개 차로 이상 차단 시 교통소통대책 수립",TBD,open
16,도로·교통,"도로법 시행령 별표 2: 공사현장은 울타리 또는 덮개, 야간 적색등·황색등 등 위험방지 조치",TBD,open
17,도로·교통,도로법 시행규칙 별지 제11호서식: 행사 설치물이 단순 점용인지 도로공사 시행 허가 대상인지 도로관리청에 확인,TBD,open
