No,Sheet,Item,Owner,Status
1,공연·무대,"공연 프로그램, 스탠딩 관객, 무대·트러스·LED·음향·조명, 공연장 외 공연 또는 야외 무대가 포함된다.",TBD,open
2,공연·무대,"공연법 재해대처계획, 안전관리조직, 안전교육, 피난안내, 무대·트러스 작업자 안전계획을 함께 관리한다.",TBD,open
3,공연·무대,"무대 구조 흔들림, 리깅 이탈, 낙하물, 전기 이상, 화재·연기, 압박·연쇄 넘어짐, 응급환자 다발, 기상 기준 초과가 있으면 공연 일시중지 또는 행사 중단 후보로 즉시 상향한다.",TBD,open
4,공연·무대,"재개는 무대감독, 안전총괄, 시설·전기·방재, 의료·보안, 필요 시 경찰·소방 확인 후 운영본부가 승인한다.",TBD,open
5,공연·무대,"방문객 안내는 피난안내, 현 위치 대기, 분산 퇴장, 운영 재개 문구를 사전 승인된 다국어 템플릿으로 송출한다.",TBD,open
6,공연·무대,공연 재해대처계획 제출·수리 또는 대상 확인,TBD,open
7,공연·무대,"안전관리조직, 안전교육 명단, 피난안내문",TBD,open
8,공연·무대,"무대·트러스 구조검토서, 리깅 승인서, 방염확인서",TBD,open
9,공연·무대,"전기·음향·조명 도면, 발전차·분전반 점검, 전원 차단 확인",TBD,open
10,공연·무대,"공연중지 판단, 아티스트/무대감독 중지 신호, 조치 전후 사진",TBD,open
11,공연·무대,"공연법 시행령 별표 1: 500석 이상 1천석 미만 공연장: 안전총괄책임자 1명, 안전관리담당자 1명 이상",TBD,open
12,공연·무대,"공연법 시행령 별표 1: 1천석 이상 공연장: 안전총괄책임자 1명, 안전관리담당자 2명 이상",TBD,open
13,공연·무대,"공연법 시행령 별표 1: 공연장 외 1천명 이상 3천명 미만 공연: 안전총괄책임자 1명, 안전관리담당자 1명 이상",TBD,open
14,공연·무대,"공연법 시행령 별표 1: 공연장 외 3천명 이상 공연: 안전총괄책임자 1명, 안전관리담당자 2명 이상",TBD,open
15,공연·무대,"공연법 시행령 별표 1의2: 공연자: 무대시설 위험성, 작업 순서와 동선, 공연 전 점검, 유해·위험요인, 보호장비, 긴급조치",TBD,open
16,공연·무대,"공연법 시행령 별표 1의2: 안전총괄책임자: 책임과 직무, 안전 제도·정책, 환경 개선, 안전관리비 계상·사용, 사고사례와 예방대책",TBD,open
17,공연·무대,"공연법 시행령 별표 1의2: 안전관리담당자: 안전관리계획 수립·시행, 사고 대처 요령, 무대·조명·음향 분야별 안전관리, 사고예방 대책",TBD,open
18,공연·무대,"공연법 시행규칙 별지 제13호의3서식: 공연장 운영자, 공연장 명칭·소재지·시설 설치내역·객석규모 작성",TBD,open
19,공연·무대,"공연법 시행규칙 별지 제13호의3서식: 공연 주최자, 공연명, 공연기간, 공연단 규모, 무대·좌석 추가 설치와 관람예상인원 작성",TBD,open
20,공연·무대,"공연법 시행규칙 별지 제13호의3서식: 시설별 관리자 임무와 관리조직, 평면도·배치도 관리자 표기 첨부",TBD,open
21,공연·무대,"공연법 시행규칙 별지 제13호의3서식: 비상조치와 연락처, 화재예방 및 인명피해 방지조치 첨부",TBD,open
22,공연·무대,위험통제: 구역별 수용능력과 순간 최대 인원 기준을 사전에 정한다.,TBD,open
23,공연·무대,위험통제: 입장·퇴장·대기열을 분리하고 병목 구간에는 일방통행 또는 우회 동선을 둔다.,TBD,open
24,공연·무대,위험통제: 밀집 구역에는 스태프를 고정 배치하고 혼잡 단계별 통제 문구를 준비한다.,TBD,open
25,공연·무대,"위험통제: 부스·전시품·자재가 비상구, 소화전, EPS, 후면 소방통로를 막지 않도록 배치한다.",TBD,open
26,공연·무대,위험통제: 개장 전과 피크 전 비상구·소방통로 개방상태를 사진으로 증빙한다.,TBD,open
27,공연·무대,위험통제: 시설 도면의 피난동선과 실제 설치물을 대조한다.,TBD,open
28,공연·무대,"위험통제: 독립부스, 복층, 리깅, 대형 구조물은 베뉴 승인과 구조검토 대상 여부를 확인한다.",TBD,open
29,공연·무대,위험통제: 설치·해체 작업 전 작업신고서와 고소작업/중량물 작업 계획을 확인한다.,TBD,open
30,공연·무대,위험통제: 야외 구조물은 풍속 기준과 중지·철거 트리거를 둔다.,TBD,open
31,공연·무대,"위험통제: 분전반, 누전차단기, 케이블 포설, 통로 횡단 보호, 접지 상태를 점검한다.",TBD,open
32,공연·무대,위험통제: 전기 작업은 지정협력업체·자격 보유자·베뉴 기술지원 절차를 따른다.,TBD,open
33,공연·무대,"위험통제: 물 사용 구역, 야외 우천, 푸드부스 주변 전기설비를 별도 점검한다.",TBD,open
34,공연·무대,위험통제: 고소작업은 작업발판·고소작업대·비계 등 안전한 접근수단을 우선 적용한다.,TBD,open
35,공연·무대,"위험통제: 사다리 작업은 제한적으로 허용하고 넘어짐 방지, 작업구역 통제, 2인1조, 안전대 필요 여부를 확인한다.",TBD,open
36,공연·무대,위험통제: 트러스·무대·독립부스 상부 작업은 작업중지 풍속·우천 기준과 추락방지 조치를 작업계획서에 넣는다.,TBD,open
37,공연·무대,"위험통제: 전시품·트러스·LED·음향장비의 중량, 무게중심, 이동경로, 적재위치를 사전에 확인한다.",TBD,open
38,공연·무대,"위험통제: 지게차·크레인·리프트 사용 시 작업지휘자, 하부 출입금지, 신호수, 줄걸이 상태를 계획서에 둔다.",TBD,open
39,공연·무대,위험통제: 반입·반출 시간에는 관람객 동선과 물류 동선을 분리하고 임시 적재가 비상구·소방시설을 막지 않도록 한다.,TBD,open
40,공연·무대,"위험통제: 의무실, AED, 구급차 접근동선, 응급 이송 병원을 행사 전 확인한다.",TBD,open
41,공연·무대,"위험통제: AED 관리책임자, 월 1회 이상 점검, 사용교육, 관리서류 비치 상태를 확인한다.",TBD,open
42,공연·무대,위험통제: 구급차 또는 이송 협력기관이 있으면 장비·의약품·통신장비·소독·운행기록 기준을 확인한다.,TBD,open
43,공연·무대,"위험통제: 강풍·호우·폭염 기준별 중지, 대피, 구조물 보강, 참가자 안내 트리거를 정한다.",TBD,open
44,공연·무대,위험통제: 기상 모니터링 담당자와 의사결정권자를 명확히 둔다.,TBD,open
45,공연·무대,"위험통제: 야외 전기, 미끄럼, 배수, 그늘·급수, 온열질환 대응을 별도 점검한다.",TBD,open
